X,Y,Accuracy
5.00E+01,2.50E+01,7.80E-01
5.00E+01,3.00E+01,7.77E-01
5.00E+01,3.50E+01,7.85E-01
5.00E+01,4.00E+01,7.81E-01
5.00E+01,4.50E+01,7.85E-01
5.00E+01,5.00E+01,7.81E-01
5.00E+01,5.50E+01,7.84E-01
5.00E+01,6.00E+01,7.87E-01
5.00E+01,6.50E+01,7.84E-01
5.00E+01,7.00E+01,7.83E-01
5.00E+01,7.50E+01,7.83E-01
5.00E+01,8.00E+01,7.91E-01
5.00E+01,8.50E+01,7.81E-01
5.00E+01,9.00E+01,7.82E-01
5.00E+01,9.50E+01,7.81E-01
5.50E+01,2.50E+01,7.79E-01
5.50E+01,3.00E+01,7.77E-01
5.50E+01,3.50E+01,7.86E-01
5.50E+01,4.00E+01,7.82E-01
5.50E+01,4.50E+01,7.85E-01
5.50E+01,5.00E+01,7.81E-01
5.50E+01,5.50E+01,7.85E-01
5.50E+01,6.00E+01,7.87E-01
5.50E+01,6.50E+01,7.84E-01
5.50E+01,7.00E+01,7.84E-01
5.50E+01,7.50E+01,7.83E-01
5.50E+01,8.00E+01,7.91E-01
5.50E+01,8.50E+01,7.81E-01
5.50E+01,9.00E+01,7.81E-01
5.50E+01,9.50E+01,7.81E-01
6.00E+01,2.50E+01,7.79E-01
6.00E+01,3.00E+01,7.77E-01
6.00E+01,3.50E+01,7.85E-01
6.00E+01,4.00E+01,7.82E-01
6.00E+01,4.50E+01,7.84E-01
6.00E+01,5.00E+01,7.81E-01
6.00E+01,5.50E+01,7.85E-01
6.00E+01,6.00E+01,7.87E-01
6.00E+01,6.50E+01,7.84E-01
6.00E+01,7.00E+01,7.84E-01
6.00E+01,7.50E+01,7.81E-01
6.00E+01,8.00E+01,7.89E-01
6.00E+01,8.50E+01,7.81E-01
6.00E+01,9.00E+01,7.83E-01
6.00E+01,9.50E+01,7.81E-01
6.50E+01,2.50E+01,7.80E-01
6.50E+01,3.00E+01,7.77E-01
6.50E+01,3.50E+01,7.86E-01
6.50E+01,4.00E+01,7.81E-01
6.50E+01,4.50E+01,7.84E-01
6.50E+01,5.00E+01,7.83E-01
6.50E+01,5.50E+01,7.84E-01
6.50E+01,6.00E+01,7.87E-01
6.50E+01,6.50E+01,7.84E-01
6.50E+01,7.00E+01,7.82E-01
6.50E+01,7.50E+01,7.83E-01
6.50E+01,8.00E+01,7.89E-01
6.50E+01,8.50E+01,7.82E-01
6.50E+01,9.00E+01,7.82E-01
6.50E+01,9.50E+01,7.81E-01
7.00E+01,2.50E+01,7.80E-01
7.00E+01,3.00E+01,7.77E-01
7.00E+01,3.50E+01,7.86E-01
7.00E+01,4.00E+01,7.81E-01
7.00E+01,4.50E+01,7.84E-01
7.00E+01,5.00E+01,7.82E-01
7.00E+01,5.50E+01,7.84E-01
7.00E+01,6.00E+01,7.87E-01
7.00E+01,6.50E+01,7.83E-01
7.00E+01,7.00E+01,7.83E-01
7.00E+01,7.50E+01,7.83E-01
7.00E+01,8.00E+01,7.90E-01
7.00E+01,8.50E+01,7.82E-01
7.00E+01,9.00E+01,7.82E-01
7.00E+01,9.50E+01,7.80E-01
7.50E+01,2.50E+01,7.79E-01
7.50E+01,3.00E+01,7.77E-01
7.50E+01,3.50E+01,7.86E-01
7.50E+01,4.00E+01,7.82E-01
7.50E+01,4.50E+01,7.84E-01
7.50E+01,5.00E+01,7.81E-01
7.50E+01,5.50E+01,7.86E-01
7.50E+01,6.00E+01,7.87E-01
7.50E+01,6.50E+01,7.84E-01
7.50E+01,7.00E+01,7.82E-01
7.50E+01,7.50E+01,7.83E-01
7.50E+01,8.00E+01,7.90E-01
7.50E+01,8.50E+01,7.83E-01
7.50E+01,9.00E+01,7.83E-01
7.50E+01,9.50E+01,7.82E-01
8.00E+01,2.50E+01,7.80E-01
8.00E+01,3.00E+01,7.76E-01
8.00E+01,3.50E+01,7.85E-01
8.00E+01,4.00E+01,7.81E-01
8.00E+01,4.50E+01,7.85E-01
8.00E+01,5.00E+01,7.81E-01
8.00E+01,5.50E+01,7.85E-01
8.00E+01,6.00E+01,7.88E-01
8.00E+01,6.50E+01,7.84E-01
8.00E+01,7.00E+01,7.84E-01
8.00E+01,7.50E+01,7.83E-01
8.00E+01,8.00E+01,7.91E-01
8.00E+01,8.50E+01,7.81E-01
8.00E+01,9.00E+01,7.80E-01
8.00E+01,9.50E+01,7.81E-01
8.50E+01,2.50E+01,7.80E-01
8.50E+01,3.00E+01,7.77E-01
8.50E+01,3.50E+01,7.85E-01
8.50E+01,4.00E+01,7.81E-01
8.50E+01,4.50E+01,7.84E-01
8.50E+01,5.00E+01,7.80E-01
8.50E+01,5.50E+01,7.84E-01
8.50E+01,6.00E+01,7.88E-01
8.50E+01,6.50E+01,7.84E-01
8.50E+01,7.00E+01,7.82E-01
8.50E+01,7.50E+01,7.82E-01
8.50E+01,8.00E+01,7.89E-01
8.50E+01,8.50E+01,7.81E-01
8.50E+01,9.00E+01,7.82E-01
8.50E+01,9.50E+01,7.82E-01
9.00E+01,2.50E+01,7.80E-01
9.00E+01,3.00E+01,7.78E-01
9.00E+01,3.50E+01,7.86E-01
9.00E+01,4.00E+01,7.81E-01
9.00E+01,4.50E+01,7.85E-01
9.00E+01,5.00E+01,7.81E-01
9.00E+01,5.50E+01,7.85E-01
9.00E+01,6.00E+01,7.87E-01
9.00E+01,6.50E+01,7.84E-01
9.00E+01,7.00E+01,7.82E-01
9.00E+01,7.50E+01,7.83E-01
9.00E+01,8.00E+01,7.91E-01
9.00E+01,8.50E+01,7.81E-01
9.00E+01,9.00E+01,7.83E-01
9.00E+01,9.50E+01,7.81E-01
9.50E+01,2.50E+01,7.80E-01
9.50E+01,3.00E+01,7.77E-01
9.50E+01,3.50E+01,7.86E-01
9.50E+01,4.00E+01,7.82E-01
9.50E+01,4.50E+01,7.85E-01
9.50E+01,5.00E+01,7.82E-01
9.50E+01,5.50E+01,7.85E-01
9.50E+01,6.00E+01,7.87E-01
9.50E+01,6.50E+01,7.83E-01
9.50E+01,7.00E+01,7.82E-01
9.50E+01,7.50E+01,7.81E-01
9.50E+01,8.00E+01,7.91E-01
9.50E+01,8.50E+01,7.82E-01
9.50E+01,9.00E+01,7.83E-01
9.50E+01,9.50E+01,7.81E-01
1.00E+02,2.50E+01,7.79E-01
1.00E+02,3.00E+01,7.77E-01
1.00E+02,3.50E+01,7.85E-01
1.00E+02,4.00E+01,7.82E-01
1.00E+02,4.50E+01,7.85E-01
1.00E+02,5.00E+01,7.82E-01
1.00E+02,5.50E+01,7.84E-01
1.00E+02,6.00E+01,7.86E-01
1.00E+02,6.50E+01,7.84E-01
1.00E+02,7.00E+01,7.82E-01
1.00E+02,7.50E+01,7.83E-01
1.00E+02,8.00E+01,7.89E-01
1.00E+02,8.50E+01,7.84E-01
1.00E+02,9.00E+01,7.83E-01
1.00E+02,9.50E+01,7.81E-01
1.05E+02,2.50E+01,7.79E-01
1.05E+02,3.00E+01,7.77E-01
1.05E+02,3.50E+01,7.86E-01
1.05E+02,4.00E+01,7.80E-01
1.05E+02,4.50E+01,7.85E-01
1.05E+02,5.00E+01,7.81E-01
1.05E+02,5.50E+01,7.84E-01
1.05E+02,6.00E+01,7.88E-01
1.05E+02,6.50E+01,7.85E-01
1.05E+02,7.00E+01,7.83E-01
1.05E+02,7.50E+01,7.82E-01
1.05E+02,8.00E+01,7.89E-01
1.05E+02,8.50E+01,7.81E-01
1.05E+02,9.00E+01,7.83E-01
1.05E+02,9.50E+01,7.80E-01
1.10E+02,2.50E+01,7.79E-01
1.10E+02,3.00E+01,7.76E-01
1.10E+02,3.50E+01,7.85E-01
1.10E+02,4.00E+01,7.82E-01
1.10E+02,4.50E+01,7.86E-01
1.10E+02,5.00E+01,7.82E-01
1.10E+02,5.50E+01,7.84E-01
1.10E+02,6.00E+01,7.88E-01
1.10E+02,6.50E+01,7.83E-01
1.10E+02,7.00E+01,7.84E-01
1.10E+02,7.50E+01,7.82E-01
1.10E+02,8.00E+01,7.90E-01
1.10E+02,8.50E+01,7.81E-01
1.10E+02,9.00E+01,7.83E-01
1.10E+02,9.50E+01,7.82E-01
1.15E+02,2.50E+01,7.79E-01
1.15E+02,3.00E+01,7.77E-01
1.15E+02,3.50E+01,7.85E-01
1.15E+02,4.00E+01,7.82E-01
1.15E+02,4.50E+01,7.85E-01
1.15E+02,5.00E+01,7.82E-01
1.15E+02,5.50E+01,7.84E-01
1.15E+02,6.00E+01,7.88E-01
1.15E+02,6.50E+01,7.84E-01
1.15E+02,7.00E+01,7.83E-01
1.15E+02,7.50E+01,7.82E-01
1.15E+02,8.00E+01,7.90E-01
1.15E+02,8.50E+01,7.81E-01
1.15E+02,9.00E+01,7.82E-01
1.15E+02,9.50E+01,7.80E-01
1.20E+02,2.50E+01,7.79E-01
1.20E+02,3.00E+01,7.78E-01
1.20E+02,3.50E+01,7.85E-01
1.20E+02,4.00E+01,7.81E-01
1.20E+02,4.50E+01,7.84E-01
1.20E+02,5.00E+01,7.81E-01
1.20E+02,5.50E+01,7.85E-01
1.20E+02,6.00E+01,7.89E-01
1.20E+02,6.50E+01,7.84E-01
1.20E+02,7.00E+01,7.83E-01
1.20E+02,7.50E+01,7.83E-01
1.20E+02,8.00E+01,7.91E-01
1.20E+02,8.50E+01,7.82E-01
1.20E+02,9.00E+01,7.83E-01
1.20E+02,9.50E+01,7.82E-01
1.25E+02,2.50E+01,7.80E-01
1.25E+02,3.00E+01,7.77E-01
1.25E+02,3.50E+01,7.86E-01
1.25E+02,4.00E+01,7.81E-01
1.25E+02,4.50E+01,7.84E-01
1.25E+02,5.00E+01,7.81E-01
1.25E+02,5.50E+01,7.84E-01
1.25E+02,6.00E+01,7.87E-01
1.25E+02,6.50E+01,7.84E-01
1.25E+02,7.00E+01,7.83E-01
1.25E+02,7.50E+01,7.82E-01
1.25E+02,8.00E+01,7.89E-01
1.25E+02,8.50E+01,7.81E-01
1.25E+02,9.00E+01,7.81E-01
1.25E+02,9.50E+01,7.83E-01
1.30E+02,2.50E+01,7.80E-01
1.30E+02,3.00E+01,7.77E-01
1.30E+02,3.50E+01,7.86E-01
1.30E+02,4.00E+01,7.81E-01
1.30E+02,4.50E+01,7.85E-01
1.30E+02,5.00E+01,7.82E-01
1.30E+02,5.50E+01,7.84E-01
1.30E+02,6.00E+01,7.88E-01
1.30E+02,6.50E+01,7.84E-01
1.30E+02,7.00E+01,7.83E-01
1.30E+02,7.50E+01,7.81E-01
1.30E+02,8.00E+01,7.90E-01
1.30E+02,8.50E+01,7.83E-01
1.30E+02,9.00E+01,7.81E-01
1.30E+02,9.50E+01,7.82E-01
1.35E+02,2.50E+01,7.80E-01
1.35E+02,3.00E+01,7.78E-01
1.35E+02,3.50E+01,7.86E-01
1.35E+02,4.00E+01,7.81E-01
1.35E+02,4.50E+01,7.86E-01
1.35E+02,5.00E+01,7.81E-01
1.35E+02,5.50E+01,7.85E-01
1.35E+02,6.00E+01,7.87E-01
1.35E+02,6.50E+01,7.85E-01
1.35E+02,7.00E+01,7.83E-01
1.35E+02,7.50E+01,7.82E-01
1.35E+02,8.00E+01,7.89E-01
1.35E+02,8.50E+01,7.82E-01
1.35E+02,9.00E+01,7.82E-01
1.35E+02,9.50E+01,7.80E-01
1.40E+02,2.50E+01,7.80E-01
1.40E+02,3.00E+01,7.77E-01
1.40E+02,3.50E+01,7.86E-01
1.40E+02,4.00E+01,7.81E-01
1.40E+02,4.50E+01,7.86E-01
1.40E+02,5.00E+01,7.82E-01
1.40E+02,5.50E+01,7.85E-01
1.40E+02,6.00E+01,7.87E-01
1.40E+02,6.50E+01,7.85E-01
1.40E+02,7.00E+01,7.83E-01
1.40E+02,7.50E+01,7.83E-01
1.40E+02,8.00E+01,7.89E-01
1.40E+02,8.50E+01,7.81E-01
1.40E+02,9.00E+01,7.82E-01
1.40E+02,9.50E+01,7.82E-01
1.45E+02,2.50E+01,7.79E-01
1.45E+02,3.00E+01,7.77E-01
1.45E+02,3.50E+01,7.86E-01
1.45E+02,4.00E+01,7.81E-01
1.45E+02,4.50E+01,7.84E-01
1.45E+02,5.00E+01,7.83E-01
1.45E+02,5.50E+01,7.85E-01
1.45E+02,6.00E+01,7.87E-01
1.45E+02,6.50E+01,7.84E-01
1.45E+02,7.00E+01,7.83E-01
1.45E+02,7.50E+01,7.81E-01
1.45E+02,8.00E+01,7.89E-01
1.45E+02,8.50E+01,7.82E-01
1.45E+02,9.00E+01,7.83E-01
1.45E+02,9.50E+01,7.81E-01
1.50E+02,2.50E+01,7.79E-01
1.50E+02,3.00E+01,7.77E-01
1.50E+02,3.50E+01,7.86E-01
1.50E+02,4.00E+01,7.81E-01
1.50E+02,4.50E+01,7.85E-01
1.50E+02,5.00E+01,7.83E-01
1.50E+02,5.50E+01,7.85E-01
1.50E+02,6.00E+01,7.88E-01
1.50E+02,6.50E+01,7.83E-01
1.50E+02,7.00E+01,7.83E-01
1.50E+02,7.50E+01,7.82E-01
1.50E+02,8.00E+01,7.89E-01
1.50E+02,8.50E+01,7.81E-01
1.50E+02,9.00E+01,7.83E-01
1.50E+02,9.50E+01,7.80E-01
1.55E+02,2.50E+01,7.79E-01
1.55E+02,3.00E+01,7.77E-01
1.55E+02,3.50E+01,7.84E-01
1.55E+02,4.00E+01,7.81E-01
1.55E+02,4.50E+01,7.85E-01
1.55E+02,5.00E+01,7.81E-01
1.55E+02,5.50E+01,7.85E-01
1.55E+02,6.00E+01,7.87E-01
1.55E+02,6.50E+01,7.85E-01
1.55E+02,7.00E+01,7.82E-01
1.55E+02,7.50E+01,7.82E-01
1.55E+02,8.00E+01,7.90E-01
1.55E+02,8.50E+01,7.80E-01
1.55E+02,9.00E+01,7.81E-01
1.55E+02,9.50E+01,7.83E-01
1.60E+02,2.50E+01,7.79E-01
1.60E+02,3.00E+01,7.77E-01
1.60E+02,3.50E+01,7.86E-01
1.60E+02,4.00E+01,7.81E-01
1.60E+02,4.50E+01,7.85E-01
1.60E+02,5.00E+01,7.82E-01
1.60E+02,5.50E+01,7.85E-01
1.60E+02,6.00E+01,7.87E-01
1.60E+02,6.50E+01,7.84E-01
1.60E+02,7.00E+01,7.83E-01
1.60E+02,7.50E+01,7.83E-01
1.60E+02,8.00E+01,7.90E-01
1.60E+02,8.50E+01,7.82E-01
1.60E+02,9.00E+01,7.83E-01
1.60E+02,9.50E+01,7.82E-01
1.65E+02,2.50E+01,7.79E-01
1.65E+02,3.00E+01,7.77E-01
1.65E+02,3.50E+01,7.85E-01
1.65E+02,4.00E+01,7.82E-01
1.65E+02,4.50E+01,7.85E-01
1.65E+02,5.00E+01,7.81E-01
1.65E+02,5.50E+01,7.84E-01
1.65E+02,6.00E+01,7.87E-01
1.65E+02,6.50E+01,7.84E-01
1.65E+02,7.00E+01,7.84E-01
1.65E+02,7.50E+01,7.83E-01
1.65E+02,8.00E+01,7.90E-01
1.65E+02,8.50E+01,7.82E-01
1.65E+02,9.00E+01,7.82E-01
1.65E+02,9.50E+01,7.82E-01
1.70E+02,2.50E+01,7.79E-01
1.70E+02,3.00E+01,7.77E-01
1.70E+02,3.50E+01,7.86E-01
1.70E+02,4.00E+01,7.81E-01
1.70E+02,4.50E+01,7.84E-01
1.70E+02,5.00E+01,7.81E-01
1.70E+02,5.50E+01,7.85E-01
1.70E+02,6.00E+01,7.88E-01
1.70E+02,6.50E+01,7.84E-01
1.70E+02,7.00E+01,7.83E-01
1.70E+02,7.50E+01,7.83E-01
1.70E+02,8.00E+01,7.90E-01
1.70E+02,8.50E+01,7.80E-01
1.70E+02,9.00E+01,7.82E-01
1.70E+02,9.50E+01,7.82E-01
1.75E+02,2.50E+01,7.79E-01
1.75E+02,3.00E+01,7.77E-01
1.75E+02,3.50E+01,7.85E-01
1.75E+02,4.00E+01,7.82E-01
1.75E+02,4.50E+01,7.85E-01
1.75E+02,5.00E+01,7.82E-01
1.75E+02,5.50E+01,7.84E-01
1.75E+02,6.00E+01,7.87E-01
1.75E+02,6.50E+01,7.84E-01
1.75E+02,7.00E+01,7.84E-01
1.75E+02,7.50E+01,7.83E-01
1.75E+02,8.00E+01,7.90E-01
1.75E+02,8.50E+01,7.82E-01
1.75E+02,9.00E+01,7.83E-01
1.75E+02,9.50E+01,7.82E-01
1.80E+02,2.50E+01,7.79E-01
1.80E+02,3.00E+01,7.77E-01
1.80E+02,3.50E+01,7.86E-01
1.80E+02,4.00E+01,7.81E-01
1.80E+02,4.50E+01,7.84E-01
1.80E+02,5.00E+01,7.81E-01
1.80E+02,5.50E+01,7.85E-01
1.80E+02,6.00E+01,7.87E-01
1.80E+02,6.50E+01,7.84E-01
1.80E+02,7.00E+01,7.83E-01
1.80E+02,7.50E+01,7.83E-01
1.80E+02,8.00E+01,7.91E-01
1.80E+02,8.50E+01,7.82E-01
1.80E+02,9.00E+01,7.81E-01
1.80E+02,9.50E+01,7.81E-01
1.85E+02,2.50E+01,7.79E-01
1.85E+02,3.00E+01,7.76E-01
1.85E+02,3.50E+01,7.86E-01
1.85E+02,4.00E+01,7.82E-01
1.85E+02,4.50E+01,7.84E-01
1.85E+02,5.00E+01,7.82E-01
1.85E+02,5.50E+01,7.86E-01
1.85E+02,6.00E+01,7.88E-01
1.85E+02,6.50E+01,7.84E-01
1.85E+02,7.00E+01,7.83E-01
1.85E+02,7.50E+01,7.82E-01
1.85E+02,8.00E+01,7.90E-01
1.85E+02,8.50E+01,7.82E-01
1.85E+02,9.00E+01,7.83E-01
1.85E+02,9.50E+01,7.80E-01
1.90E+02,2.50E+01,7.80E-01
1.90E+02,3.00E+01,7.77E-01
1.90E+02,3.50E+01,7.86E-01
1.90E+02,4.00E+01,7.82E-01
1.90E+02,4.50E+01,7.84E-01
1.90E+02,5.00E+01,7.81E-01
1.90E+02,5.50E+01,7.85E-01
1.90E+02,6.00E+01,7.87E-01
1.90E+02,6.50E+01,7.83E-01
1.90E+02,7.00E+01,7.83E-01
1.90E+02,7.50E+01,7.84E-01
1.90E+02,8.00E+01,7.90E-01
1.90E+02,8.50E+01,7.81E-01
1.90E+02,9.00E+01,7.83E-01
1.90E+02,9.50E+01,7.82E-01
1.95E+02,2.50E+01,7.79E-01
1.95E+02,3.00E+01,7.77E-01
1.95E+02,3.50E+01,7.85E-01
1.95E+02,4.00E+01,7.82E-01
1.95E+02,4.50E+01,7.85E-01